id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068642";"2019-10-16";"1";"Vente";"325000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"203";"24.42";"483";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"20.0";"1";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2019-1068529";"2019-09-20";"1";"Vente";"1427000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"317";"31.63";"318";"54.85";"468";"None";"469";"None";"479";"nan";"5";"2";"Appartement";"87.0";"3";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2019-1068529";"2019-09-20";"1";"Vente";"1427000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"431";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2019-1068267";"2019-08-27";"1";"Vente";"36000.0";"64";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0010";"None";"None";"16";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331172";"48.845749";"000AU"
"2019-1068008";"2019-07-18";"1";"Vente";"44000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"421";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2019-1067841";"2019-07-12";"1";"Vente";"2270000.0";"45";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0034";"None";"None";"58";"136.26";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"150.0";"3";"None";"None";"None";"None";"None";"2.329814";"48.844771";"000AU"
"2019-1067841";"2019-07-12";"1";"Vente";"2270000.0";"45";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0034";"None";"None";"157";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.329814";"48.844771";"000AU"
"2019-1067338";"2019-05-29";"1";"Vente";"195000.0";"74";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0015";"None";"None";"8";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331664";"48.844939";"000AU"
"2019-1067272";"2019-05-17";"1";"Vente";"805000.0";"3";"None";"RUE HUYSMANS";"4686";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0004";"None";"None";"21";"nan";"6";"131.29";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"131.0";"5";"None";"None";"None";"None";"None";"2.329654";"48.845948";"000AU"
"2019-1067010";"2019-04-30";"1";"Vente";"60000.0";"64";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0010";"None";"None";"33";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331172";"48.845749";"000AU"
"2019-1066978";"2019-04-26";"1";"Vente";"1254170.0";"64";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0010";"None";"None";"38";"nan";"5";"75.83";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"75.0";"3";"None";"None";"None";"None";"None";"2.331172";"48.845749";"000AU"
"2019-1066935";"2019-04-09";"1";"Vente";"425000.0";"6";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0017";"None";"None";"38";"nan";"56";"16.2";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"16.0";"1";"None";"None";"None";"None";"None";"2.331598";"48.844756";"000AU"
"2019-1066737";"2019-03-18";"1";"Vente";"277000.0";"6";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0017";"None";"None";"11";"18.12";"19";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"16.0";"1";"None";"None";"None";"None";"None";"2.331598";"48.844756";"000AU"
"2019-1066457";"2019-02-15";"1";"Vente";"910000.0";"66";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0037";"None";"None";"217";"nan";"245";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"66.0";"3";"None";"None";"None";"None";"None";"2.331305";"48.845473";"000AU"
"2019-1066318";"2019-02-11";"1";"Vente";"845000.0";"45";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0034";"None";"None";"106";"61.08";"48";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"62.0";"2";"None";"None";"None";"None";"None";"2.329814";"48.844771";"000AU"
"2019-1065991";"2019-01-22";"1";"Vente";"2600000.0";"45";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0034";"None";"None";"181";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.329814";"48.844771";"000AU"
"2019-1065963";"2019-01-02";"1";"Vente";"947500.0";"12";"B";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0023";"None";"None";"11";"69.15";"6";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"70.0";"3";"None";"None";"None";"None";"None";"2.330971";"48.844316";"000AU"
"2018-1371769";"2018-11-28";"1";"Vente";"1879000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"344";"117.62";"408";"nan";"485";"None";"None";"None";"None";"nan";"3";"2";"Appartement";"121.0";"4";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2018-1371769";"2018-11-28";"1";"Vente";"1879000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"457";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2018-1371451";"2018-10-24";"1";"Vente";"3950000.0";"72";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0014";"None";"None";"14";"143.68";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"1";"Maison";"150.0";"7";"None";"None";"None";"None";"None";"2.331403";"48.845041";"000AU"
"2018-1371306";"2018-10-18";"1";"Vente";"4550000.0";"72";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0014";"None";"None";"12";"207.63";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"1";"Maison";"160.0";"6";"None";"None";"None";"None";"None";"2.331403";"48.845041";"000AU"
"2018-1371306";"2018-10-18";"1";"Vente";"4550000.0";"64";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0010";"None";"None";"36";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331172";"48.845749";"000AU"
"2018-1371433";"2018-10-12";"1";"Vente";"7135000.0";"74";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0015";"None";"None";"27";"334.85";"31";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"334.0";"8";"None";"None";"None";"None";"None";"2.331664";"48.844939";"000AU"
"2018-1371433";"2018-10-12";"1";"Vente";"7135000.0";"74";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0015";"None";"None";"29";"14.57";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331664";"48.844939";"000AU"
"2018-1371247";"2018-10-09";"1";"Vente";"550000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"213";"nan";"534";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"56.0";"2";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2018-1371247";"2018-10-09";"1";"Vente";"550000.0";"5";"None";"RUE DUGUAY TROUIN";"2968";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0033";"None";"None";"425";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.330212";"48.846004";"000AU"
"2018-1370604";"2018-07-25";"1";"Vente";"348000.0";"60";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0009";"None";"None";"516";"29.03";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"20.0";"2";"None";"None";"None";"None";"None";"2.330988";"48.845951";"000AU"
"2018-1370592";"2018-07-06";"1";"Vente";"1480000.0";"70";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0013";"None";"None";"130";"nan";"131";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"110.0";"5";"None";"None";"None";"None";"None";"2.331432";"48.845284";"000AU"
"2018-1370592";"2018-07-06";"1";"Vente";"1480000.0";"70";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0013";"None";"None";"152";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331432";"48.845284";"000AU"
"2018-1369825";"2018-05-30";"1";"Vente";"1680000.0";"64";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0010";"None";"None";"1";"82.13";"50";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"83.0";"3";"None";"None";"None";"None";"None";"2.331172";"48.845749";"000AU"
"2018-1369828";"2018-05-18";"1";"Vente";"760000.0";"45";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0034";"None";"None";"5";"58.75";"90";"nan";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"58.0";"2";"None";"None";"None";"None";"None";"2.329814";"48.844771";"000AU"
"2018-1369828";"2018-05-18";"1";"Vente";"760000.0";"45";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0034";"None";"None";"166";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.329814";"48.844771";"000AU"
"2018-1369712";"2018-05-03";"1";"Vente";"1125000.0";"6";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0017";"None";"None";"18";"nan";"4";"84.92";"None";"None";"None";"None";"None";"nan";"2";"2";"Appartement";"73.0";"4";"None";"None";"None";"None";"None";"2.331598";"48.844756";"000AU"
"2018-1369617";"2018-04-13";"1";"Vente";"12500000.0";"8";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0018";"None";"None";"28";"363.9";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"855.0";"16";"None";"None";"None";"None";"None";"2.331372";"48.8447";"000AU"
"2018-1369617";"2018-04-13";"1";"Vente";"12500000.0";"8";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0018";"None";"None";"28";"363.9";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"160.0";"6";"None";"None";"None";"None";"None";"2.331372";"48.8447";"000AU"
"2018-1369617";"2018-04-13";"1";"Vente";"12500000.0";"8";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0018";"None";"None";"254";"nan";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331372";"48.8447";"000AU"
"2018-1369373";"2018-03-29";"1";"Vente";"1000000.0";"1";"None";"RUE HUYSMANS";"4686";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AU0005";"None";"None";"4";"144.8";"None";"nan";"None";"None";"None";"None";"None";"nan";"1";"2";"Appartement";"110.0";"5";"None";"None";"None";"None";"None";"2.329947";"48.846071";"000AU"
